id;start_date;end_date;language
1;2022-04-07T18:18:02;2022-04-07T16:08:17;ENGLISH
2;2022-04-07T03:45:37;2022-04-07T13:11:06;FRENCH
3;2022-04-07T13:41:49;2022-04-07T01:46:57;SPANISH
4;2022-04-07T18:12:38;2022-04-06T23:38:57;FRENCH
5;2022-04-07T20:29:01;2022-04-07T04:47:59;ENGLISH
6;2022-04-07T05:59:44;2022-04-07T20:00:04;SPANISH
7;2022-04-07T14:03:32;2022-04-07T00:37:41;FRENCH
8;2022-04-07T04:29:25;2022-04-07T01:05:14;FRENCH
9;2022-04-07T05:21:03;2022-04-07T16:52:29;FRENCH
10;2022-04-07T01:18:01;2022-04-07T18:15:30;FRENCH
